MON,   AVG  
JAN, 4244.87
FEB, 3643.15
MAR, 1469.64
APR, 435.39
MAY, -1490.82
JUN, 4600.33
JUL, -1672.29
AGU, 1729.02
SEP, 2732.89
OCT, 2380.77
NOV, 288.86
DEC, -936.14
JAN, -638.76
FEB, -223.85
MAR, -420.95
APR, 1525.08
MAY, 318.10
JUN, -572.78
JUL, -1450.65
AGU, 3103.73
SEP, 1097.27
OCT, -1757.55
NOV, 4287.74
DEC, 316.92
JAN, 3935.20
FEB, 2908.14
MAR, 702.67
APR, 526.52
MAY, -1248.69
JUN, 672.16
JUL, 1817.10
AGU, 4996.18
SEP, -684.69
OCT, -1713.26
NOV, 431.57
DEC, -175.51
JAN, 4887.07
FEB, 759.28
MAR, 3553.51
APR, 2619.96
MAY, -1859.95
JUN, -1157.63
JUL, 3683.82
AGU, -498.71
SEP, 618.52
OCT, -1737.12
NOV, 3026.37
DEC, 2936.63
JAN, -309.91
FEB, 3575.72
MAR, 1040.36
APR, 2787.36
MAY, 3818.16
JUN, 328.10
JUL, -1895.72
AGU, 2753.36
SEP, -1763.76
OCT, 806.95
NOV, -1720.12
DEC, -1012.45
JAN, 3479.11
FEB, 2096.98
MAR, -1016.27
APR, 4794.42
MAY, 2383.72
JUN, 1415.30
JUL, -381.09
AGU, 2270.79
SEP, 4174.59
OCT, -1827.58
NOV, -109.25
DEC, 4314.64
JAN, -985.21
FEB, -1425.43
MAR, -1184.07
APR, 1633.31
MAY, -1162.55
JUN, 3842.29
JUL, -430.06
AGU, 527.54
SEP, 2418.01
OCT, 2610.30
NOV, -1685.10
DEC, 1236.17
JAN, 4938.39
FEB, -1580.82
MAR, -1010.47
APR, -1825.37
MAY, 1226.13
JUN, -730.59
JUL, -837.82
AGU, -294.76
SEP, 3366.39
OCT, 145.91
NOV, -500.34
DEC, 750.10
JAN, 3561.21
FEB, 1118.58
MAR, -1979.11
APR, 2735.80
MAY, 1291.00
JUN, -88.37
JUL, 2050.44
AGU, 2305.78
SEP, 486.20
OCT, 2866.37
NOV, -1060.90
DEC, 1323.65
JAN, 1708.66
FEB, 509.03
MAR, 3851.19
APR, -873.33
MAY, -1880.67
JUN, 4166.09
JUL, 2362.84
AGU, -1942.28
SEP, 4585.27
OCT, 3352.37
NOV, -1767.65
DEC, 811.40
